
"Date","Price","Open","High","Low","Change %"
"Jan 15, 2020","1,395.66","1,389.48","1,397.26","1,388.34","0.44%"
"Jan 14, 2020","1,389.48","1,390.14","1,391.81","1,378.94","-0.05%"
"Jan 13, 2020","1,390.13","1,404.31","1,405.94","1,389.48","-1.04%"
"Jan 10, 2020","1,404.68","1,398.05","1,405.73","1,391.05","0.49%"
"Jan 09, 2020","1,397.84","1,401.04","1,404.33","1,385.65","-0.26%"
"Jan 08, 2020","1,401.44","1,412.17","1,443.83","1,397.45","-0.71%"
"Jan 07, 2020","1,411.51","1,398.68","1,415.07","1,389.37","0.94%"
"Jan 06, 2020","1,399.55","1,406.07","1,415.40","1,395.35","-0.47%"
"Jan 05, 2020","1,406.16","1,389.38","1,422.94","1,389.13","1.15%"
"Jan 03, 2020","1,390.12","1,368.70","1,394.56","1,367.52","1.57%"
"Jan 02, 2020","1,368.61","1,352.94","1,370.34","1,351.42","1.13%"
"Jan 01, 2020","1,353.04","1,353.22","1,354.13","1,352.19","-0.02%"
"Dec 31, 2019","1,353.37","1,353.30","1,361.53","1,350.83","0.03%"
"Dec 30, 2019","1,352.92","1,351.69","1,354.44","1,348.54","0.09%"
"Dec 27, 2019","1,351.64","1,361.84","1,362.06","1,350.92","-0.74%"
"Dec 26, 2019","1,361.65","1,351.53","1,363.43","1,350.17","0.71%"
"Dec 25, 2019","1,352.04","1,352.47","1,354.01","1,349.97","-0.03%"
"Dec 24, 2019","1,352.42","1,340.08","1,354.02","1,338.77","0.95%"
"Dec 23, 2019","1,339.75","1,334.00","1,340.29","1,333.61","0.41%"
"Dec 20, 2019","1,334.23","1,329.74","1,335.73","1,327.23","0.34%"
"Dec 19, 2019","1,329.73","1,327.63","1,332.05","1,322.31","0.15%"
"Dec 18, 2019","1,327.77","1,323.98","1,329.73","1,322.67","0.29%"
"Dec 17, 2019","1,323.98","1,324.35","1,328.98","1,321.37","-0.04%"
"Dec 16, 2019","1,324.53","1,327.22","1,328.10","1,322.53","-0.19%"
"Dec 13, 2019","1,327.05","1,320.65","1,329.11","1,307.24","0.48%"
"Dec 12, 2019","1,320.66","1,325.24","1,335.04","1,316.36","-0.33%"
"Dec 11, 2019","1,325.07","1,320.19","1,327.77","1,318.55","0.37%"
"Dec 10, 2019","1,320.20","1,320.96","1,326.22","1,318.15","-0.07%"
"Dec 09, 2019","1,321.13","1,320.73","1,323.55","1,319.05","0.09%"
"Dec 06, 2019","1,319.97","1,329.62","1,333.96","1,318.52","-0.69%"
"Dec 05, 2019","1,329.19","1,330.52","1,334.02","1,327.28","-0.13%"
"Dec 04, 2019","1,330.95","1,333.43","1,340.41","1,326.31","-0.16%"
"Dec 03, 2019","1,333.06","1,319.89","1,337.21","1,317.27","0.99%"
"Dec 02, 2019","1,319.97","1,331.37","1,331.41","1,318.44","-0.84%"
"Nov 29, 2019","1,331.11","1,324.85","1,331.46","1,321.57","0.49%"
"Nov 28, 2019","1,324.68","1,322.20","1,325.20","1,321.15","0.19%"
"Nov 27, 2019","1,322.16","1,326.08","1,327.40","1,320.57","-0.30%"
"Nov 26, 2019","1,326.13","1,321.43","1,327.29","1,317.63","0.37%"
"Nov 25, 2019","1,321.23","1,326.40","1,327.62","1,319.88","-0.39%"
"Nov 22, 2019","1,326.46","1,324.26","1,332.52","1,321.21","0.16%"
"Nov 21, 2019","1,324.38","1,328.89","1,332.47","1,321.09","-0.35%"
"Nov 20, 2019","1,329.00","1,329.18","1,336.98","1,324.00","-0.00%"
"Nov 19, 2019","1,329.06","1,328.91","1,332.76","1,322.60","0.00%"
"Nov 18, 2019","1,329.03","1,327.56","1,331.07","1,316.57","0.10%"
"Nov 15, 2019","1,327.69","1,334.76","1,335.23","1,325.74","-0.53%"
"Nov 14, 2019","1,334.76","1,329.40","1,338.60","1,327.36","0.39%"
"Nov 13, 2019","1,329.52","1,323.24","1,333.06","1,322.11","0.49%"
