
"Date","Price","Open","High","Low","Change %"
"Jan 15, 2020","1,555.95","1,549.65","1,558.22","1,546.45","0.41%"
"Jan 14, 2020","1,549.62","1,545.31","1,550.08","1,536.03","0.28%"
"Jan 13, 2020","1,545.31","1,559.46","1,560.07","1,545.01","-1.09%"
"Jan 10, 2020","1,562.29","1,552.70","1,563.18","1,545.80","0.61%"
"Jan 09, 2020","1,552.74","1,557.96","1,561.40","1,540.35","-0.33%"
"Jan 08, 2020","1,557.94","1,595.02","1,611.52","1,552.34","-2.33%"
"Jan 07, 2020","1,595.13","1,563.91","1,598.43","1,555.37","2.00%"
"Jan 06, 2020","1,566.72","1,569.13","1,580.13","1,560.91","-0.16%"
"Jan 05, 2020","1,569.19","1,560.08","1,583.70","1,552.04","1.11%"
"Jan 03, 2020","1,552.03","1,529.15","1,553.53","1,529.05","1.52%"
"Jan 02, 2020","1,528.84","1,518.45","1,531.44","1,517.90","0.68%"
"Jan 01, 2020","1,518.47","1,517.36","1,520.34","1,517.36","0.08%"
"Dec 31, 2019","1,517.30","1,514.96","1,525.32","1,514.85","0.15%"
"Dec 30, 2019","1,514.98","1,513.59","1,516.19","1,510.86","0.26%"
"Dec 27, 2019","1,511.03","1,511.33","1,515.39","1,507.44","-0.02%"
"Dec 26, 2019","1,511.27","1,499.58","1,512.62","1,497.87","0.79%"
"Dec 25, 2019","1,499.47","1,499.85","1,500.44","1,497.87","-0.01%"
"Dec 24, 2019","1,499.56","1,485.60","1,500.56","1,484.44","0.94%"
"Dec 23, 2019","1,485.53","1,478.52","1,486.20","1,478.46","0.50%"
"Dec 20, 2019","1,478.08","1,478.56","1,481.02","1,475.91","-0.03%"
"Dec 19, 2019","1,478.52","1,475.79","1,481.90","1,473.33","0.18%"
"Dec 18, 2019","1,475.84","1,475.70","1,479.35","1,470.57","0.01%"
"Dec 17, 2019","1,475.68","1,475.51","1,480.54","1,474.28","0.02%"
"Dec 16, 2019","1,475.42","1,474.24","1,479.87","1,473.26","-0.02%"
"Dec 13, 2019","1,475.76","1,465.23","1,478.05","1,464.89","0.73%"
"Dec 12, 2019","1,465.10","1,474.64","1,486.90","1,462.06","-0.65%"
"Dec 11, 2019","1,474.67","1,463.94","1,478.56","1,462.91","0.73%"
"Dec 10, 2019","1,463.98","1,461.16","1,469.21","1,460.00","0.19%"
"Dec 09, 2019","1,461.19","1,460.06","1,465.38","1,459.16","0.08%"
"Dec 06, 2019","1,460.09","1,476.07","1,479.63","1,458.79","-1.08%"
"Dec 05, 2019","1,476.05","1,475.57","1,480.50","1,473.05","0.03%"
"Dec 04, 2019","1,475.68","1,476.62","1,484.10","1,471.55","-0.07%"
"Dec 03, 2019","1,476.70","1,462.71","1,481.90","1,459.90","0.96%"
"Dec 02, 2019","1,462.72","1,461.85","1,465.10","1,454.00","-0.26%"
"Nov 29, 2019","1,466.48","1,456.13","1,466.59","1,453.13","0.71%"
"Nov 28, 2019","1,456.09","1,456.88","1,458.34","1,454.47","-0.03%"
"Nov 27, 2019","1,456.50","1,460.56","1,461.30","1,452.65","-0.29%"
"Nov 26, 2019","1,460.66","1,453.96","1,462.94","1,450.18","0.46%"
"Nov 25, 2019","1,454.03","1,460.60","1,462.21","1,453.72","-0.56%"
"Nov 22, 2019","1,462.29","1,464.40","1,473.15","1,461.00","-0.14%"
"Nov 21, 2019","1,464.40","1,471.40","1,475.85","1,462.43","-0.47%"
"Nov 20, 2019","1,471.25","1,472.39","1,478.90","1,465.66","-0.08%"
"Nov 19, 2019","1,472.38","1,470.85","1,475.50","1,464.30","0.10%"
"Nov 18, 2019","1,470.85","1,467.51","1,474.10","1,455.97","0.24%"
"Nov 15, 2019","1,467.37","1,471.20","1,471.43","1,462.05","-0.26%"
"Nov 14, 2019","1,471.20","1,463.18","1,474.48","1,460.76","0.55%"
"Nov 13, 2019","1,463.19","1,457.19","1,467.14","1,455.90","0.41%"
"Nov 12, 2019","1,457.19","1,455.79","1,460.32","1,445.43","0.09%"
"Nov 11, 2019","1,455.90","1,458.96","1,466.59","1,448.14","-0.19%"
"Nov 08, 2019","1,458.66","1,468.01","1,473.25","1,456.05","-0.64%"
"Nov 07, 2019","1,468.07","1,490.29","1,492.32","1,461.00","-1.50%"
"Nov 06, 2019","1,490.46","1,484.10","1,494.30","1,482.21","0.43%"
"Nov 05, 2019","1,484.10","1,509.64","1,509.90","1,479.35","-1.69%"
"Nov 04, 2019","1,509.63","1,513.80","1,514.93","1,504.46","-0.29%"
"Nov 01, 2019","1,513.95","1,513.53","1,515.81","1,503.30","0.04%"
"Oct 31, 2019","1,513.36","1,496.39","1,514.39","1,493.64","1.20%"
"Oct 30, 2019","1,495.40","1,487.60","1,496.80","1,481.02","0.52%"
"Oct 29, 2019","1,487.60","1,492.64","1,495.00","1,483.71","-0.34%"
